h_values,a_values,c_values,th_values,ta_values,avg_weight,std_of_avg_comm_state,range_of_comm_state,number_of_comm,modularity
0.03,0.01,0.01,0.3,0.01,0.007588344778156616,4.672551033299887,14.060437293118248,6,0.5734092620893083
0.03,0.01,0.01,0.3,0.03,0.006401223352481296,3.982425659786053,11.587310042254114,5,0.5402190595229186
0.03,0.01,0.01,0.3,0.1,0.004658688018366268,5.585756922744657,17.9853861776611,9,0.6011428215369484
0.03,0.01,0.01,0.3,0.3,0.0016941932376395587,2.917615019877961,10.433397009652168,9,0.6603703051171909
0.03,0.03,0.01,0.01,0.01,0.23820002889685493,1.9275893775654291,3.8551787551308583,2,0.210828022743179
0.03,0.03,0.01,0.01,0.03,0.20946584097815957,1.9593567406413899,4.79153222789124,3,0.22276184735808857
0.03,0.03,0.01,0.01,0.1,0.13343848232884317,2.255109549544457,5.523783460775286,3,0.24846234921333082
0.03,0.03,0.01,0.01,0.3,0.010356181183764832,2.3950426927009416,7.217210640952832,6,0.41843522091642027
0.03,0.03,0.01,0.03,0.01,0.24903894525424863,2.052478996028169,5.027157149933679,3,0.19831790336096272
0.03,0.03,0.01,0.03,0.03,0.233879046391101,1.9332343604981344,4.404717673009573,3,0.1910988827228526
0.03,0.03,0.01,0.03,0.1,0.15116996618300765,2.1127393348170296,4.225478669634059,2,0.19820504437342212
0.03,0.03,0.01,0.03,0.3,0.013589406375333827,1.6884096387172962,4.634449173624832,5,0.3896286398125316
0.03,0.03,0.01,0.1,0.01,0.3646449842471251,1.8499580800978686,4.353852199239998,3,0.18952858554844298
0.03,0.03,0.01,0.1,0.03,0.346880561928883,1.865510470999363,4.569536554431981,3,0.1950116979015321
0.03,0.03,0.01,0.1,0.1,0.22239508034252306,2.0475192724011295,4.94201389980636,3,0.24808015010758025
0.03,0.03,0.01,0.1,0.3,0.04702290588422989,2.14447225967208,5.005743258002865,3,0.3210146321187999
0.03,0.03,0.01,0.3,0.01,0.6638220330355921,1.7871427956864456,4.376495817281183,3,0.18663101571000765
0.03,0.03,0.01,0.3,0.03,0.6703656864133335,2.6093647043067083,5.218729408613417,2,0.20310382876019892
0.03,0.03,0.01,0.3,0.1,0.5097115566861115,1.9313948129898533,3.8627896259797065,2,0.20714240365471256
0.03,0.03,0.01,0.3,0.3,0.2211335399803004,1.9955004845642548,3.9910009691285095,2,0.23570222327525683
0.03,0.1,0.01,0.01,0.01,8.94208950083969,1.2574471084663892,2.5148942169327784,2,0.03778582281216036
0.03,0.1,0.01,0.01,0.03,9.703256712701618,1.5834941998954026,3.1669883997908053,2,0.040672414321897055
0.03,0.1,0.01,0.01,0.1,8.90716378539099,1.1476359985526963,2.2952719971053925,2,0.0373352137073486
