h_values,a_values,c_values,global_node_eccentricity,within_community_eccentricity,community_eccentricity,community_size
0.1,0.03,0.01,1.5631551347543453,0.12919425234991522,1.43396088240443,67
0.03,0.01,0.3,0.5979204695855084,0.2709907706561201,0.8689112402416285,94
0.03,0.03,0.1,2.1372901357332146,0.18528059931194618,1.9520095364212684,102
0.01,0.1,0.1,5.261340297209527,0.10230929781829712,5.363649595027824,23
0.1,0.1,0.1,0.0735378555179055,0.1499699982229742,0.07643214270506869,50
0.1,0.03,0.03,2.7234208139580853,0.13109671818118995,2.5923240957768954,69
0.3,0.01,0.03,6.866977717275677,0.048682214866965445,6.915659932142643,8
0.03,0.01,0.3,2.6563940481244526,0.010863492926062257,2.667257541050515,61
0.3,0.3,0.03,2.2616778788686824,0.3111227186269563,1.9505551602417261,52
0.3,0.1,0.03,1.7102507961260036,0.2762899137215735,1.43396088240443,67
0.3,0.01,0.1,0.5807074059637825,0.21960059422236078,0.8003080001861432,73
0.03,0.01,0.01,1.1957074500309521,0.23825343237347796,1.43396088240443,67
0.03,0.1,0.03,1.9651205750713283,0.013111038650059914,1.9520095364212684,102
0.3,0.01,0.1,1.862136371179612,0.0884187890621142,1.9505551602417261,52
0.1,0.3,0.3,0.4461338794601215,0.023308626308318037,0.42282525315180347,40
0.03,0.01,0.1,0.35547278944031463,0.44483521074582855,0.8003080001861432,73
0.01,0.03,0.03,1.606713140560562,0.3452963958607065,1.9520095364212684,102
0.03,0.3,0.1,0.05353113004066255,0.12996327274573125,0.07643214270506869,50
0.03,0.01,0.03,5.467941963819809,0.10429236879198456,5.363649595027824,23
0.03,0.01,0.1,1.472901904075692,0.07870245968758427,1.3941994443881078,39
0.03,0.01,0.03,6.556539426159829,0.002724824098898182,6.559264250258727,8
0.1,0.03,0.03,2.727702431876484,0.06044489082596938,2.667257541050515,61
0.1,0.3,0.01,2.4683521692241235,0.1239719265527719,2.5923240957768954,69
0.01,0.1,0.03,1.0829061887422033,0.21399494850057488,0.8689112402416285,94
0.3,0.03,0.1,1.102575533960983,0.2336642937193546,0.8689112402416285,94
0.01,0.01,0.1,2.8194440086094357,0.15218646755892085,2.667257541050515,61
0.1,0.03,0.03,0.49631057660353667,0.0734853234517332,0.42282525315180347,40
