h_values,n_values,th_values,ta_values,c_values,avg_weight,std_dev,average_os,range_community,n_communities,modularity
0.03,0.03,0.1,0.01,0.01,106.26935086256559,0.2747144167064623,8.290654144263769,4.53656400179977,2,0.0074221060518218085
0.03,0.03,0.1,0.03,0.01,106.10522634967981,0.351856376998227,7.8743005641268535,4.767999553199772,2,0.008657424991455387
0.03,0.03,0.1,0.1,0.01,105.90770317233269,0.1916288807524914,7.534405194982074,4.513156422820435,2,0.00873920177746737
0.03,0.03,0.1,0.3,0.01,105.63029501951922,0.4793901499683068,7.929607159391186,3.906691802793979,2,0.00841304750125954
0.03,0.03,0.3,0.01,0.01,105.4987976974634,0.1133527526276099,6.2967649041695415,2.301263894735567,2,0.008074481306119707
0.03,0.03,0.3,0.03,0.01,105.37850307600561,0.10904989311753031,6.859822295596823,2.844742193922446,2,0.008905345503774087
0.03,0.03,0.3,0.1,0.01,105.23546270866736,0.18846413774938583,6.9356491227719275,2.7375272494296166,2,0.008964706458562843
0.03,0.03,0.3,0.3,0.01,105.01142373106987,0.002237407720410572,7.048478537307948,4.3178239767755215,2,0.00907896513020262
0.03,0.1,0.01,0.01,0.01,106.00101788490484,0.452992443777954,6.968552933294172,2.6512901762847374,2,0.009073569029871165
0.03,0.1,0.01,0.03,0.01,106.94227859039941,0.0054092725650005235,7.069366529738715,4.537789087213058,2,0.009152757239976772
0.03,0.1,0.01,0.1,0.01,107.84573838010651,0.6286115510602841,7.619548762248666,2.969306571271228,2,0.009369867378134916
0.03,0.1,0.01,0.3,0.01,108.61371320531187,0.0776724144890904,7.3874928443652355,4.555759488849809,2,0.009524459809315128
0.03,0.1,0.03,0.01,0.01,109.62510495569468,0.301928514410562,6.999015085532217,4.252709485602457,2,0.009677475679280317
0.03,0.1,0.03,0.03,0.01,110.55314662823639,0.39715358967470044,7.801259087379129,3.3276453187485204,2,0.00971927273478243
0.03,0.1,0.03,0.1,0.01,111.43677659481536,0.5378791853758592,7.891364355565699,3.3792435689594944,2,0.00976459237049257
0.03,0.1,0.03,0.3,0.01,112.11635655986603,0.4943299801451531,7.9378858223469235,3.4793329914476576,2,0.00980433842630607
0.03,0.1,0.1,0.01,0.01,113.1170672834145,0.6192735466938362,7.836772784094144,3.213568276875126,2,0.009839783874004998
