h_values,a_values,c_values,global_node_eccentricity,within_community_eccentricity,community_eccentricity,community_size
0.01,0.03,0.03,1.4687967119622765,3.498772878408855,2.0299761664465787,202
0.1,0.3,0.01,1.093489858003727,1.1157253004634233,2.2092151584671504,215
0.01,0.1,0.3,0.28629800979483044,0.17493253218208787,0.1113654776127426,583
0.1,0.3,0.03,0.12228090970911534,1.9076952567374634,2.0299761664465787,202
0.03,0.03,0.01,3.9150749973110845,1.705859838843934,2.2092151584671504,215
0.03,0.1,0.03,1.0232904430438046,1.1859247154233459,2.2092151584671504,215
0.3,0.01,0.01,3.4581407403446622,1.2489255818775118,2.2092151584671504,215
0.01,0.03,0.03,1.9407996280163842,2.052165105629127,0.1113654776127426,583
0.1,0.1,0.3,0.9367406992069837,0.825375221594241,0.1113654776127426,583
0.3,0.3,0.01,1.7078864283560191,1.8192519059687617,0.1113654776127426,583
0.03,0.3,0.01,1.5496653299463874,0.659549828520763,2.2092151584671504,215
0.03,0.03,0.3,1.0287886782226137,0.9174232006098711,0.1113654776127426,583
0.3,0.3,0.03,3.2708294976998884,1.061614339232738,2.2092151584671504,215
0.01,0.03,0.01,0.7700248796771694,0.881390357289912,0.1113654776127426,583
0.3,0.1,0.3,1.3436186648107358,0.686357501635843,2.0299761664465787,202
0.01,0.01,0.01,0.3713168494825174,0.2599513718697748,0.1113654776127426,583
0.3,0.01,0.03,3.5277867791427546,1.3185716206756042,2.2092151584671504,215
0.3,0.1,0.03,7.499157908066684,5.289942749599534,2.2092151584671504,215
0.1,0.3,0.03,0.5896329909300283,1.4403431755165506,2.0299761664465787,202
0.03,0.3,0.1,0.8985681637487426,1.3106469947184078,2.2092151584671504,215
0.3,0.01,0.03,0.9927647127423248,1.1041301903550673,0.1113654776127426,583
0.3,0.3,0.03,0.4594000278043425,0.34803455019159996,0.1113654776127426,583
0.3,0.1,0.1,4.138729949681264,2.108753783234685,2.0299761664465787,202
0.03,0.03,0.3,0.8641022808400837,0.752736803227341,0.1113654776127426,583
0.03,0.1,0.3,0.14394355194335406,0.2553090295560967,0.1113654776127426,583
0.3,0.01,0.1,3.962659897504336,3.8512944198915937,0.1113654776127426,583
0.03,0.01,0.03,3.026619896289751,3.1379853739024934,0.1113654776127426,583
0.03,0.3,0.1,0.1913775233752551,2.221353689821834,2.0299761664465787,202
0.01,0.01,0.03,0.6044927354963806,0.493127257883638,0.1113654776127426,583
0.03,0.01,0.03,2.1221753199824365,2.233540797595179,0.1113654776127426,583
0.03,0.03,0.03,1.2879292022135014,0.9212859562536491,2.2092151584671504,215
0.1,0.3,0.1,1.2122705973581083,0.9969445611090422,2.2092151584671504,215
0.01,0.1,0.01,0.8434050597338899,1.186571106712689,2.0299761664465787,202
0.3,0.1,0.3,1.8939881575048616,1.782622679892119,0.1113654776127426,583
0.1,0.3,0.1,0.26141269932752065,2.2913888657740995,2.0299761664465787,202
0.03,0.1,0.3,0.016154471833763638,0.09521100577897895,0.1113654776127426,583
0.01,0.1,0.3,0.19865750080421954,0.08729202319147694,0.1113654776127426,583
0.01,0.03,0.03,1.224841949282967,1.3362074268957094,0.1113654776127426,583
0.01,0.3,0.03,1.5237305705708335,0.6854845878963169,2.2092151584671504,215
0.1,0.03,0.1,0.06916521404277913,0.1805306916555217,0.1113654776127426,583
0.1,0.03,0.3,3.090230980628667,1.0602548141820884,2.0299761664465787,202
0.1,0.3,0.03,1.1278263320331496,0.9021498344134291,2.0299761664465787,202
0.01,0.03,0.03,1.507048401596489,1.3956829239837463,0.1113654776127426,583
0.1,0.01,0.03,1.0734003751206649,1.1358147833464856,2.2092151584671504,215
0.01,0.03,0.1,0.17312617300146252,0.2844916506142051,0.1113654776127426,583
0.1,0.3,0.01,1.319256105383413,0.8899590530837374,2.2092151584671504,215
0.3,0.1,0.01,9.231015583148539,7.20103941670196,2.0299761664465787,202
0.3,0.03,0.3,2.2864252678186263,2.175059790205884,0.1113654776127426,583
0.1,0.3,0.3,0.10337765455102774,2.1333538209976064,2.0299761664465787,202
0.3,0.01,0.01,2.7285226216650886,2.6171571440523462,0.1113654776127426,583
0.3,0.01,0.3,0.20952773113162457,0.09816225351888197,0.1113654776127426,583
0.3,0.03,0.01,3.1750027675654104,0.96578760909826,2.2092151584671504,215
0.3,0.01,0.1,2.1852510093423367,0.023964149124813705,2.2092151584671504,215
