h,a,c,theta_h,theta_a,average edge weight,std. of average comm. states,range of average comm. states,number of communities,modularity
0.01,0.1,0.01,0.01,0.3,9.230297306134517,1.3614925685549673,2.7229851371099345,2,0.010532033583915329
0.01,0.1,0.01,0.03,0.01,11.786896832383515,0.8448109938259383,1.6896219876518765,2,0.0070783771285970465
0.01,0.1,0.01,0.03,0.03,12.04760402281141,1.3173050839391354,2.6346101678782707,2,0.00808198684853273
0.01,0.1,0.01,0.03,0.1,12.355411604068275,1.652977196176006,3.305954392352012,2,0.010129688670964754
0.01,0.1,0.01,0.03,0.3,10.3866493093328,1.419115047999503,2.838230095999006,2,0.010280170796555105
0.01,0.1,0.01,0.1,0.01,11.499258542913156,1.2171106781945111,2.4342213563890223,2,0.007339689216013662
0.01,0.1,0.01,0.1,0.03,12.716729185662231,1.4466568308846297,2.8933136617692594,2,0.00862922129941629
0.01,0.1,0.01,0.1,0.1,12.58689706180722,1.3771934986619305,2.754386997323861,2,0.00896183716404994
0.01,0.1,0.01,0.1,0.3,10.176375440332567,1.606137248162979,3.212274496325958,2,0.009135276533798864
0.01,0.1,0.01,0.3,0.01,13.440916272416288,1.6644076793352487,3.3288153586704974,2,0.009941120946541537
0.01,0.1,0.01,0.3,0.03,12.942612108622097,1.2356432518791167,2.4712865037582334,2,0.007993398769427368
0.01,0.1,0.01,0.3,0.1,10.814121367977439,1.305243833195668,2.610487666391336,2,0.0071912199200769855
0.01,0.1,0.01,0.3,0.3,9.693695227577866,1.5688777800708138,3.1377555601416276,2,0.010490318166839874
0.01,0.3,0.01,0.01,0.01,41.465507703529546,1.439864392073471,2.879728784146942,2,0.0006806561641243825
0.01,0.3,0.01,0.01,0.03,38.36266021287404,1.4209504964868822,2.8419009929737644,2,0.0005539160544618948
0.01,0.3,0.01,0.01,0.1,35.799564691509296,1.2133686985640466,2.426737397128093,2,0.0005629497523145233
0.01,0.3,0.01,0.01,0.3,29.755160105593273,1.2909200840144996,2.5818401680289993,2,0.0017773257832956468
0.01,0.3,0.01,0.03,0.01,43.67824105978965,1.3026188658380011,2.6052377316760023,2,0.000413558706575029
0.01,0.3,0.01,0.03,0.03,40.31695593368297,1.5879084176153704,3.1758168352307408,2,0.00040164823980412545
0.01,0.3,0.01,0.03,0.1,40.72927269291972,1.4852102793449296,2.970420558689859,2,0.0012296933017091616
0.01,0.3,0.01,0.03,0.3,30.20881324792687,1.2937958655694675,2.587591731138935,2,0.0017986440729992337
0.01,0.3,0.01,0.1,0.01,39.94590729646714,1.2478671577125582,2.4957343154251164,2,0.0004135538912527492
0.01,0.3,0.01,0.1,0.03,45.45222208983067,1.5779974954990639,3.1559949909981277,2,0.001056046052894416
0.01,0.3,0.01,0.1,0.1,39.74319745791124,1.7047183887171875,3.409436777434375,2,0.001169921196855661
0.01,0.3,0.01,0.1,0.3,30.65479742347081,1.1356338910091748,2.2712677820183496,2,0.0013756342126613752
0.01,0.3,0.01,0.3,0.01,41.136021826690786,1.5720744093970103,3.1441488187940205,2,0.0012632103449927157
