h_values,n_values,th_values,ta_values,c_values,avg_weight,std_dev,average_os,range_community,n_communities,modularity
0.01,0.3,0.03,0.01,0.01,54.84364645923636,0.06513067922581,0.46850559859193336,0.7055039760437543,2,0.00295365489779692
0.01,0.3,0.03,0.03,0.01,59.808362190661306,0.024728422328876346,0.6562760282935635,0.05467403974270968,2,0.002304451530370899
0.01,0.3,0.03,0.1,0.01,64.068931798106,0.06952875591774085,0.4142972010015234,0.5821525520417243,2,0.0018279013480662076
0.01,0.3,0.03,0.3,0.01,67.81547353604047,0.0016005201063835372,0.6250101544552992,0.030961101057181528,2,0.001457712135688044
0.01,0.3,0.1,0.01,0.01,72.66944593825997,0.021389093535649852,0.7388404559318779,0.6237030403708482,2,0.0010194485703623468
0.01,0.3,0.1,0.03,0.01,77.48394579518536,0.012242626689421054,0.732287858484318,0.5251570425558134,2,0.0007555188171821658
0.01,0.3,0.1,0.1,0.01,82.11724960349852,0.07061660476562584,0.9533036404269534,0.7928410054960532,2,0.0006389434663217064
0.01,0.3,0.1,0.3,0.01,86.3244922385168,0.0007649481147336054,0.487257150936367,0.0,1,6.661338147750939e-16
0.01,0.3,0.3,0.01,0.01,91.2844200500955,0.12391158769111277,0.7228893135595856,0.7407863089077619,2,0.0003953330104135011
0.01,0.3,0.3,0.03,0.01,96.22468287489271,0.09277373764370792,0.7707824743772353,0.8127861336636832,2,0.00039228483440670314
0.01,0.3,0.3,0.1,0.01,101.08130660280275,0.058885845304038134,0.7727945082519397,0.733418392684306,2,0.00030159860167042196
0.01,0.3,0.3,0.3,0.01,105.23158287990918,0.15420772556761775,0.8608224514885349,0.46626985944441623,2,0.00022900799848291076
0.03,0.01,0.01,0.01,0.01,104.6595972391496,0.02243660422245964,0.8089962950594283,0.5184691719525687,2,0.0005765788783354542
0.03,0.01,0.01,0.03,0.01,104.06552287525119,0.01211883919439774,0.7698484695649945,0.9687808373211233,2,0.0008540546441576369
0.03,0.01,0.01,0.1,0.01,103.44721406173169,0.1496118200817204,0.6030696671955921,1.1060475962933904,2,0.0015053653488021623
0.03,0.01,0.01,0.3,0.01,102.77689531385418,0.17808121413854125,0.4990361439534002,1.3846619915889844,2,0.002316669042380509
0.03,0.01,0.03,0.01,0.01,102.17739665536736,0.18721469964466014,0.372691289701979,1.1804406584469163,2,0.0032412327407788377
0.03,0.01,0.03,0.03,0.01,101.6164872560858,0.03533883766279286,0.3770596608295428,1.0315089710675065,2,0.0040325347578622495
0.03,0.01,0.03,0.1,0.01,101.08175391848346,0.07029319633516687,0.44578497517326193,1.073126676302539,2,0.004753092768331357
0.03,0.01,0.03,0.3,0.01,100.52782401067321,0.14609518987667033,0.6887783844557124,0.8463509592274104,2,0.005473984614938698
0.03,0.01,0.1,0.01,0.01,100.00977489813705,0.27336824226340806,1.0415377380213997,0.5471189003965646,2,0.006193706346149935
0.03,0.01,0.1,0.03,0.01,99.47416790180942,0.5523663059040455,0.6994669059140814,0.7790296904478915,2,0.006785573402615791
0.03,0.01,0.1,0.1,0.01,98.89590760645962,0.5455619646583151,0.5562969996173612,0.9096276523708766,2,0.007511147119751815
