h_values,a_values,c_values,global_node_eccentricity,local_node_eccentricity,community_eccentricity,community_size
0.03,0.01,0.01,4.135624542028585,4.13976430633492,2.3892461884028933,507
0.3,0.01,0.01,3.7804593273878377,3.7842435709587963,2.3892461884028933,507
0.01,0.01,0.03,4.437528891001838,4.441970861863702,2.3892461884028933,507
0.3,0.01,0.1,1.7649226751806593,1.7666893645452044,2.457094964544154,493
0.1,0.3,0.1,0.6526790171691658,0.6533323495186844,2.457094964544154,493
0.1,0.03,0.03,0.9466013066949502,0.9475488555505007,2.457094964544154,493
0.1,0.01,0.3,1.5659875429048224,1.5675550980028254,2.457094964544154,493
0.03,0.3,0.01,0.8230932363898237,0.823917153543367,2.3892461884028933,507
0.1,0.1,0.1,1.125644931224608,1.1267717029275355,2.457094964544154,493
0.1,0.01,0.1,3.078163486681509,3.0812447314129217,2.3892461884028933,507
0.1,0.1,0.1,8.737499425586504,8.746245671257762,2.3892461884028933,507
0.03,0.01,0.1,6.6081982677257285,6.614813080806535,2.3892461884028933,507
0.03,0.01,0.1,1.559813095237954,1.561374469707662,2.457094964544154,493
0.1,0.3,0.01,3.0751487600284046,3.07822698701542,2.3892461884028933,507
0.3,0.3,0.3,0.46814287376670727,0.4686114852519593,2.3892461884028933,507
0.1,0.3,0.3,0.08469627075878894,0.08478105181059954,2.3892461884028933,507
0.3,0.3,0.03,7.596664429163781,7.6042686978616425,2.3892461884028933,507
0.03,0.03,0.3,6.852226071767726,6.8590851569246505,2.457094964544154,493
0.1,0.3,0.1,5.069678594390962,5.0747533477387,2.457094964544154,493
0.3,0.03,0.1,0.21731062527179576,0.21752815342522092,2.3892461884028933,507
0.03,0.1,0.1,0.4588168729565233,0.45927614910562886,2.457094964544154,493
0.1,0.1,0.03,2.862567227540806,2.865432660201007,2.457094964544154,493
0.01,0.3,0.01,2.8757334009540103,2.878612012966977,2.457094964544154,493
0.1,0.01,0.03,1.5377840731120342,1.5393233965085427,2.3892461884028933,507
0.01,0.3,0.3,0.010026337394026114,0.010036373767793913,2.3892461884028933,507
0.1,0.1,0.1,6.120985246960022,6.127112359319342,2.3892461884028933,507
0.03,0.03,0.3,8.119247012373501,8.12737438676026,2.3892461884028933,507
0.01,0.01,0.3,4.889492571883922,4.894386958842765,2.3892461884028933,507
0.3,0.3,0.03,0.03250191435027218,0.032534448799071206,2.3892461884028933,507
0.1,0.01,0.3,4.258226459988814,4.262488948937752,2.3892461884028933,507
0.03,0.03,0.1,1.9968861518556698,1.9988850368925624,2.3892461884028933,507
0.1,0.01,0.1,2.1296543055205888,2.131786091612201,2.3892461884028933,507
0.3,0.01,0.1,3.001117667058166,3.004121788847013,2.457094964544154,493
0.03,0.3,0.1,6.828753369027312,6.835588957985297,2.3892461884028933,507
0.01,0.03,0.01,1.1470499902176297,1.1481981884060357,2.3892461884028933,507
0.3,0.01,0.1,0.961564753567327,0.9625272808481752,2.3892461884028933,507
0.1,0.1,0.3,2.6165074476153403,2.6191265741895298,2.457094964544154,493
0.03,0.1,0.01,7.277475412074627,7.284760172246874,2.457094964544154,493
0.01,0.03,0.3,1.962935524124787,1.9649004245493362,2.3892461884028933,507
0.01,0.1,0.1,2.5901278489226374,2.59272056949213,2.457094964544154,493
0.03,0.03,0.1,1.0363909826449804,1.0374284110560366,2.457094964544154,493
0.03,0.01,0.1,5.421203128960492,5.426629758719211,2.457094964544154,493
0.01,0.3,0.3,4.032836878700881,4.036873752453334,2.3892461884028933,507
0.1,0.3,0.1,3.0885081647441384,3.091599764508647,2.3892461884028933,507
0.1,0.01,0.03,4.133578824487106,4.1377165410281345,2.3892461884028933,507
0.01,0.01,0.03,2.751906130139418,2.754660790930348,2.457094964544154,493
0.03,0.1,0.03,0.3013340459285109,0.301635681610121,2.3892461884028933,507
0.3,0.3,0.03,0.5462999015175657,0.5468467482658315,2.457094964544154,493
0.03,0.1,0.3,4.444262320997542,4.448711032029571,2.457094964544154,493
0.1,0.3,0.01,2.752985472421196,2.755741213634831,2.3892461884028933,507
0.1,0.01,0.01,0.4068176167843629,0.4072248416259889,2.3892461884028933,507
0.1,0.01,0.1,2.3756739447077746,2.378051996704479,2.457094964544154,493
0.3,0.3,0.1,5.3141246595177725,5.319444103621394,2.457094964544154,493
0.3,0.3,0.1,1.6818637061788215,1.6835472534322538,2.3892461884028933,507
0.3,0.01,0.01,2.772223620539849,2.774998619159008,2.3892461884028933,507
0.01,0.1,0.01,0.5151472075835797,0.5156628704540338,2.3892461884028933,507
0.03,0.03,0.3,1.9970990601615437,1.9990981583198635,2.3892461884028933,507
0.3,0.01,0.1,3.617263967783876,3.6208848526365123,2.3892461884028933,507
0.1,0.01,0.01,4.797493275042899,4.802295570613512,2.3892461884028933,507
0.1,0.1,0.01,3.1730718687399397,3.1762481168567964,2.3892461884028933,507
0.01,0.01,0.01,0.6340147590363973,0.6346494084448421,2.457094964544154,493
0.3,0.01,0.3,3.277433872623695,3.280714587210906,2.3892461884028933,507
0.1,0.3,0.03,3.4420567774000417,3.4455022796797214,2.457094964544154,493
0.1,0.1,0.3,1.6878036311264912,1.689493124250742,2.457094964544154,493
0.01,0.01,0.01,1.271061753848019,1.2723340879359548,2.3892461884028933,507
0.3,0.3,0.03,1.1818372004797255,1.183020220700426,2.3892461884028933,507
0.01,0.3,0.03,0.9329614548686012,0.9338953502188199,2.457094964544154,493
0.01,0.03,0.1,1.2243858408978348,1.225611452350185,2.457094964544154,493
0.01,0.1,0.03,3.8343928949144286,3.838231126040469,2.3892461884028933,507
