h_values,a_values,c_values,node_eccentricity,community_opinion_eccentricity,community_size
0.3,0.1,0.03,0.3765664888152243,0.33736222762806384,33
0.03,0.3,0.3,1.1507095820083368,0.13567361533028321,18
0.3,0.03,0.1,0.22218795235246153,0.33736222762806384,33
0.01,0.3,0.03,0.7911990335285701,0.33736222762806384,33
0.3,0.1,0.3,0.13546352796995992,0.33736222762806384,33
0.3,0.03,0.1,0.07396962325842393,0.33736222762806384,33
0.03,0.01,0.03,0.46984901791657824,0.33736222762806384,33
0.1,0.1,0.1,0.1247961637065455,0.13567361533028321,18
0.01,0.01,0.03,0.711380104005669,0.14149406069019188,35
0.3,0.1,0.3,1.0301570662213406,0.14149406069019188,35
0.1,0.01,0.1,0.3840005635703825,0.14149406069019188,35
0.03,0.03,0.3,0.037734507225916064,0.33736222762806384,33
0.3,0.3,0.3,0.9276587493849878,0.13567361533028321,18
0.01,0.03,0.01,1.2859033662009287,0.14149406069019188,35
0.01,0.03,0.1,0.47813011082579604,0.13567361533028321,18
0.03,0.01,0.03,0.07667346055772056,0.13567361533028321,18
0.03,0.01,0.01,0.5712311928158731,0.6159133188224637,14
0.1,0.1,0.1,1.1394152202898455,0.33736222762806384,33
0.3,0.03,0.3,0.06806712646699203,0.14149406069019188,35
0.3,0.03,0.03,0.4892995742921824,0.13567361533028321,18
0.03,0.03,0.1,1.0353007352543722,0.33736222762806384,33
0.1,0.03,0.01,0.14739677754199582,0.6159133188224637,14
0.3,0.03,0.03,2.8001672828853263,3.136327898631081,41
0.1,0.1,0.1,3.926461731383785,2.50021063325541,51
0.01,0.1,0.01,1.671206001910073,3.136327898631081,41
0.3,0.1,0.03,3.3178807979719336,3.136327898631081,41
0.03,0.3,0.01,1.5722300612249225,2.50021063325541,51
0.01,0.1,0.01,5.655601361328089,2.50021063325541,51
0.01,0.3,0.1,1.9584603865988184,3.136327898631081,41
0.1,0.03,0.1,2.196831801908928,2.50021063325541,51
0.1,0.01,0.03,1.748097013464845,3.136327898631081,41
0.1,0.01,0.03,2.82841087485842,3.136327898631081,41
0.01,0.01,0.3,2.900910584373704,2.50021063325541,51
0.03,0.03,0.3,3.3315545834965863,2.50021063325541,51
0.01,0.03,0.3,2.637550845243391,3.136327898631081,41
0.3,0.01,0.1,3.8200467384346473,2.50021063325541,51
0.03,0.01,0.1,1.715154960423754,3.136327898631081,41
0.03,0.01,0.01,2.383141885672265,2.50021063325541,51
0.1,0.3,0.1,0.1739289311613138,0.1348376934810454,8
0.01,0.3,0.03,2.562937180638974,2.50021063325541,51
0.3,0.01,0.01,5.159693693898399,3.136327898631081,41
0.1,0.3,0.1,5.194506865134463,2.50021063325541,51
0.03,0.03,0.3,5.289103996586338,3.136327898631081,41
0.1,0.01,0.01,0.2511014669560875,0.1348376934810454,8
0.03,0.1,0.1,3.990248141546325,3.136327898631081,41
0.01,0.01,0.03,6.026105744422415,2.50021063325541,51
0.1,0.3,0.3,3.941269374484667,2.50021063325541,51
0.01,0.01,0.01,3.3505151971879883,2.50021063325541,51
0.1,0.3,0.3,2.923453173398597,3.136327898631081,41
0.3,0.3,0.03,4.65915368820786,2.50021063325541,51
0.3,0.3,0.1,3.8122220457181015,2.50021063325541,51
0.1,0.01,0.03,0.7461543381210782,2.50021063325541,51
0.3,0.01,0.03,2.2551382836463225,2.50021063325541,51
0.01,0.01,0.03,0.7667781866731478,2.50021063325541,51
0.01,0.3,0.3,0.1499875989030769,2.50021063325541,51
0.1,0.3,0.3,1.673923754980418,2.50021063325541,51
0.01,0.3,0.3,6.168612833747219,3.136327898631081,41
0.01,0.01,0.01,0.8128827557396727,2.50021063325541,51
0.03,0.01,0.1,1.1719236017988637,2.50021063325541,51
0.03,0.3,0.3,2.5154727147192824,3.136327898631081,41
0.01,0.3,0.03,6.813402471367202,2.50021063325541,51
0.3,0.1,0.3,5.270831820163554,3.136327898631081,41
0.01,0.01,0.03,1.2450007226428892,2.50021063325541,51
